Node_ID,Degree_Centrality,Component_Membership
"page, d.",12,1
"painter, k. j.",4,1
"pallas, j. a.",11,1
"pan, m.",18,1
"parton, a.",5,1
"penfield, s.",13,1
"peter, m.",9,1
"petfalski, e.",3,1
"phelan, p.",18,1
"pintard, l.",9,1
"planas-iglesias, j.",7,1
"plotkin, j. b.",3,1
"pokhilko, a.",16,1
"povey, j.",9,1
"prazeres da costa, o.",10,1
"pritchard, j. c.",3,1
"qin, x.",18,1
"quadroni, m.",9,1
"quiring, a.",11,1
"radle, b.",10,1
"rand, d. a.",25,1
"rayner, j.",3,1
"raza, s.",27,1
"reddy, a. b.",22,1
"ricicova, m.",11,1
"riemersma, r.",18,1
"robert, m. c.",19,1
"robertson, k.",24,1
"robertson, k. a.",50,1
"rodriguez-martin, s.",24,1
"rose, k.",13,1
"rosenfeld, r.",6,1
"ross, a.",11,1
"roy, d.",14,1
"roy, m.",9,1
"roy, m. m.",3,1
"ruprecht, m.",5,1
"rutkowski, a. j.",10,1
"ruzsics, z.",30,1
"sahle, s.",63,1
"saidi, n. b.",11,1
"saithong, t.",2,1
"salvo-chirnside, e.",15,1
"sander, c.",38,1
"sanguinetti, g.",2,1
"santoyo-lopez, j.",13,1
"sauro, h.",38,1
"sauro, h. m.",27,1
"scharinger, f.",7,1
"schleiff, e.",5,1
"schmidt, e.",38,1
"schmidt, h.",27,1
"schmidt, u.",7,1
"schreiber, f.",38,1
"searcy, j. l.",9,1
"selfors, l. m.",13,1
"shamu, c. e.",13,1
"shanks, e.",13,1
"sherratt, j. a.",2,1
"shliaha, p. v.",8,1
"short, d. m.",5,1
"shui, g.",36,1
"sicheri, f.",11,1
"sing, g.",30,1
"sloan, t. m.",7,1
"smith, q.",13,1
"snoep, j. l.",63,1
"sorokin, a.",57,1
"southern, m. m.",8,1
"spagnolo, l.",3,1
"spann, n. j.",22,1
"spoel, s. h.",11,1
"storm, p.",9,1
"stratford, k.",7,1
"strobl, b.",24,1
"sumara, i.",9,1
"swiatkowska, a.",3,1
"talbot, s.",22,1
"tang, s.",5,1
"tang, x.",11,1
"tekotte, h.",11,1
"theocharidis, a.",14,1
"thomson, a. w.",10,1
"tolle, d.",27,1
"tollervey, d.",24,1
"trew, a.",7,1
"trgovcich, j.",11,1
"trilling, m.",10,1
"troein, c.",19,1
"tsorman, n.",17,1
"turnbull, a.",14,1
"tyers, m.",18,1
"ugarte, n.",13,1
"um, i. h.",10,1
"valekunja, u. k.",18,1
"van ooijen, g.",30,1
"villeger, a.",38,1
"villemin, j. p.",7,1
"waltemath, d.",29,1
"wang, y.",22,1
"watterson, s.",92,1
"wegner, k.",38,1
"wenk, m. r.",36,1
"whittle, i. r.",5,1
"wimalaratne, s. m.",38,1
"wolkenhauer, o.",27,1
"wrobel, d.",13,1
"wu, g.",38,1
"xu, y.",18,1
"yamaguchi, a.",16,1
"yin, m.",11,1
"yoshida, m.",7,1
"yu, l.",3,1
"yu, m.",11,1
"yun, b. w.",11,1
"zhao, y.",18,1
"zimmer, r.",10,1
