"","degree","closeness","betweenness"
"klipp, e.",27,0.000858369098712446,16.1879583364997
"laibe, c.",27,0.000858369098712446,16.1879583364997
"moraru, i.",27,0.000858369098712446,16.1879583364997
"nielsen, p.",27,0.000858369098712446,16.1879583364997
"nikolski, m.",27,0.000858369098712446,16.1879583364997
"raza, s.",27,0.00100401606425703,338.195374490834
"sauro, h. m.",27,0.000858369098712446,16.1879583364997
"schmidt, h.",27,0.000858369098712446,16.1879583364997
"tolle, d.",27,0.000858369098712446,16.1879583364997
"wolkenhauer, o.",27,0.000858369098712446,16.1879583364997
"rand, d. a.",25,0.000811688311688312,168.232271026136
"gilmore, s.",24,0.00091324200913242,380.092625274204
"guerriero, m. l.",24,0.00102880658436214,1688.91573249294
"hillston, j.",24,0.00106382978723404,4237.95607455225
"robertson, k.",24,0.000859106529209622,107.720936442268
"rodriguez-martin, s.",24,0.000916590284142988,22.5208745836837
"strobl, b.",24,0.000916590284142988,22.5208745836837
"tollervey, d.",24,0.000816993464052288,3924.66467559463
"bukowski-wills, j. c.",23,0.0344827586206897,32.9
"griffiths, w. j.",23,0.000878734622144112,114.316382371717
"rappsilber, j.",23,0.0344827586206897,32.9
"covey, d. f.",22,0.00103412616339193,101.054164403643
"glass, c. k.",22,0.00103412616339193,101.054164403643
"griffiths, s. j.",22,0.00103412616339193,101.054164403643
"haas, j.",22,0.00103412616339193,101.054164403643
"krishnan, k.",22,0.00103412616339193,101.054164403643
"lebedeva, g.",22,0.00099304865938431,312.101080493704
"martin, s. f.",22,0.000989119683481701,2598.14758654578
"meljon, a.",22,0.00103412616339193,101.054164403643
"reddy, a. b.",22,0.000768049155145929,155.632518072823
"spann, n. j.",22,0.00103412616339193,101.054164403643
"talbot, s.",22,0.00103412616339193,101.054164403643
"wang, y.",22,0.00103412616339193,101.054164403643
"goltsov, a.",21,0.00099403578528827,233.483135866349
"chen, z. a.",20,0.0333333333333333,24.2727272727273
"edwards, k. d.",20,0.00104712041884817,1507.00507779977
"fischer, l.",20,0.0333333333333333,24.2727272727273
"bertrand, e.",19,0.000889679715302491,1075.20045899953
"halliday, k. j.",19,0.000848896434634975,313.396897887039
"robert, m. c.",19,0.000889679715302491,1075.20045899953
"troein, c.",19,0.000922509225092251,301.584894413241
"baliga, n. s.",18,0.000884955752212389,19.8614107273575
"beggs, j. d.",18,0.000886524822695035,1864.11625966996
"edgar, r. s.",18,0.000884955752212389,19.8614107273575
"feeney, k. a.",18,0.000884955752212389,19.8614107273575
"green, e. w.",18,0.000884955752212389,19.8614107273575
"hastings, m. h.",18,0.00088261253309797,13.9792993632595
"johnson, c. h.",18,0.000884955752212389,19.8614107273575
"khondoker, m.",18,0.00103092783505155,111.849793355702
"kyriacou, c. p.",18,0.000884955752212389,19.8614107273575
"larsen, b.",18,0.000584453535943892,21
"maywood, e. s.",18,0.00088261253309797,13.9792993632595
"merrow, m.",18,0.000884955752212389,19.8614107273575
"muller, m.",18,0.00103092783505155,111.849793355702
"olmedo, m.",18,0.000884955752212389,19.8614107273575
"osborne, t.",18,0.00103092783505155,111.849793355702
"pan, m.",18,0.000884955752212389,19.8614107273575
"phelan, p.",18,0.00103092783505155,111.849793355702
"qin, x.",18,0.000884955752212389,19.8614107273575
"riemersma, r.",18,0.00103092783505155,111.849793355702
"tyers, m.",18,0.000584453535943892,21
"valekunja, u. k.",18,0.000884955752212389,19.8614107273575
"xu, y.",18,0.000884955752212389,19.8614107273575
"zhao, y.",18,0.000884955752212389,19.8614107273575
"clark, a.",17,0.00101936799184506,317.865425209337
"dolken, l.",17,0.000853242320819113,135.904931728922
"friedel, c. c.",17,0.000853242320819113,135.904931728922
"lacaze, p. a.",17,0.00092678405931418,64.3030907128683
"tsorman, n.",17,0.00088809946714032,24.6468868859918
"pokhilko, a.",16,0.000869565217391304,225.668494491519
"yamaguchi, a.",16,0.00100908173562059,393.650444719321
"aitken, s.",15,0.000979431929480901,1206.98305653182
"alexander, r. d.",15,0.000881834215167548,785.116259669958
"busche, a.",15,0.000991080277502478,67.6159259867262
"hassim, m. f.",15,0.000991080277502478,67.6159259867262
"jonjic, s.",15,0.000991080277502478,67.6159259867262
"khondoker, m. r.",15,0.000991080277502478,67.6159259867262
"knox, k.",15,0.000923361034164358,385.106909953328
"mueller, m.",15,0.000991080277502478,67.6159259867262
"salvo-chirnside, e.",15,0.00106496272630458,3040.24706125043
"chen, y.",14,0.000954198473282443,11.806028173111
"chisholm, m.",14,0.000954198473282443,11.806028173111
"earnshaw, w. c.",14,0.027027027027027,3.78888888888889
"eleftheriadis, g.",14,0.000954198473282443,11.806028173111
"kos, m.",14,0.000803858520900322,379.664675594632
"mcderment, n.",14,0.000954198473282443,11.806028173111
"monk, s.",14,0.000954198473282443,11.806028173111
"o'sullivan, m.",14,0.000954198473282443,11.806028173111
"ohta, s.",14,0.027027027027027,3.78888888888889
"roy, d.",14,0.000954198473282443,11.806028173111
"theocharidis, a.",14,0.000954198473282443,11.806028173111
"turnbull, a.",14,0.000954198473282443,11.806028173111
"wood, l.",14,0.027027027027027,3.78888888888889
"ali, s.",13,0.00100502512562814,41.546915776459
"barrass, j. d.",13,0.000696864111498258,19.0714348340962
"beijersbergen, r. l.",13,0.000952380952380952,1.22629416157663
"birmingham, a.",13,0.000952380952380952,1.22629416157663
